tokenizer_name,language,region,fertility,compression_ratio,byte_fallback_rate,unknown_rate,vocab_coverage,roundtrip_pass_rate,avg_tokens_per_sent,total_tokens,total_words,total_chars,total_sentences
BLOOM,Burmese,SEA,25.746,0.596,27.36,0.0,53.59,100.0,270.74,273985,10642,163169,1012
Burmese-GPT-1B,Burmese,SEA,10.719,1.43,0.6,0.0,91.5,100.0,112.72,114076,10642,163169,1012
Gemma-4,Khmer,SEA,12.747,2.067,0.01,0.0,98.38,100.0,73.25,74124,5815,153212,1012
BLOOM,Khmer,SEA,29.492,0.893,26.35,0.0,63.78,100.0,169.46,171497,5815,153212,1012
Gemma-4,Swahili,Africa,2.087,3.108,0.0,0.0,100.0,100.0,43.91,44433,21291,138104,1012
BLOOM,Swahili,Africa,1.602,4.048,0.05,0.0,100.0,100.0,33.71,34118,21291,138104,1012
Swahili-Gemma-7B,Swahili,Africa,2.047,3.169,0.0,0.0,100.0,100.0,43.06,43578,21291,138104,1012
Gemma-4,Amharic,Africa,3.032,1.658,0.02,0.0,99.08,100.0,51.93,52552,17330,87132,1012
BLOOM,Amharic,Africa,7.905,0.636,26.31,0.0,28.0,100.0,135.37,136993,17330,87132,1012
Gemma-4,Hausa,Africa,1.864,2.987,0.0,0.0,99.07,100.0,46.33,46889,25156,140067,1012
BLOOM,Hausa,Africa,1.924,2.893,1.5,0.0,93.46,100.0,47.84,48410,25156,140067,1012
Gemma-4,Yoruba,Africa,2.588,1.944,0.01,0.0,100.0,100.0,64.46,65233,25206,126844,1012
BLOOM,Yoruba,Africa,1.759,2.862,0.11,0.0,99.22,100.0,43.8,44325,25206,126844,1012
Gemma-4,Igbo,Africa,2.358,2.29,0.0,0.0,100.0,100.0,58.05,58748,24917,134560,1012
BLOOM,Igbo,Africa,1.892,2.854,0.15,0.0,100.0,100.0,46.58,47144,24917,134560,1012
Kakugo-3B-Igbo,Igbo,Africa,2.688,2.009,4.25,0.0,95.0,100.0,66.19,66987,24917,134560,1012
Gemma-4,Zulu,Africa,3.384,2.77,0.0,0.0,100.0,100.0,52.92,53557,15826,148362,1012
BLOOM,Zulu,Africa,3.043,3.081,0.01,0.0,99.09,100.0,47.59,48158,15826,148362,1012
Gemma-4,Xhosa,Africa,3.302,2.717,0.01,0.0,99.03,100.0,50.6,51204,15506,139123,1012
BLOOM,Xhosa,Africa,2.933,3.059,0.03,0.0,99.03,100.0,44.93,45474,15506,139123,1012
Gemma-4,Somali,Africa,2.246,2.896,0.0,0.0,100.0,100.0,51.75,52374,23322,151662,1012
BLOOM,Somali,Africa,2.402,2.707,0.4,0.0,100.0,100.0,55.36,56023,23322,151662,1012
Gemma-4,Wolof,Africa,1.921,2.643,0.02,0.0,99.19,100.0,47.54,48114,25051,127173,1012
BLOOM,Wolof,Africa,1.845,2.751,0.01,0.0,100.0,100.0,45.68,46231,25051,127173,1012
Wolof-Qwen-1.5B,Wolof,Africa,2.103,2.414,0.53,0.0,100.0,100.0,52.06,52687,25051,127173,1012
Gemma-4,Shona,Africa,2.927,2.907,0.0,0.0,100.0,100.0,50.18,50778,17351,147603,1012
BLOOM,Shona,Africa,2.848,2.987,0.02,0.0,100.0,100.0,48.83,49412,17351,147603,1012
Gemma-4,French,Europe,1.49,4.129,2.04,0.0,98.31,100.0,37.73,38180,25618,157638,1012
BLOOM,French,Europe,1.289,4.774,0.0,0.0,100.0,100.0,32.63,33020,25618,157638,1012
Lucie-7B,French,Europe,1.427,4.311,0.0,0.0,82.2,100.0,36.13,36565,25618,157638,1012
Gemma-4,German,Europe,1.655,4.27,0.01,0.0,100.0,100.0,35.59,36020,21760,153809,1012
BLOOM,German,Europe,2.12,3.333,0.05,0.0,100.0,100.0,45.59,46141,21760,153809,1012
LeoLM-7B,German,Europe,2.18,3.242,0.01,0.0,81.48,100.0,46.88,47442,21760,153809,1012
Gemma-4,Spanish,Europe,1.347,4.47,0.0,0.0,100.0,100.0,34.71,35125,26081,156997,1012
BLOOM,Spanish,Europe,1.269,4.745,0.0,0.0,100.0,100.0,32.69,33084,26081,156997,1012
Salamandra-7B,Spanish,Europe,1.354,4.447,0.03,0.0,85.58,100.0,34.88,35303,26081,156997,1012
Gemma-4,Portuguese,Europe,1.453,4.215,0.0,0.0,100.0,100.0,33.62,34022,23413,143418,1012
BLOOM,Portuguese,Europe,1.312,4.669,0.04,0.0,100.0,100.0,30.36,30720,23413,143418,1012
Gervasio-8B,Portuguese,Europe,1.709,3.585,0.74,0.0,100.0,100.0,39.53,40005,23413,143418,1012
Gemma-4,Italian,Europe,1.535,4.185,0.0,0.0,100.0,100.0,36.87,37313,24311,156138,1012
BLOOM,Italian,Europe,1.828,3.514,0.01,0.0,100.0,100.0,43.91,44436,24311,156138,1012
LLaMAntino-3-8B,Italian,Europe,1.831,3.508,0.58,0.0,100.0,100.0,43.98,44511,24311,156138,1012
Gemma-4,Dutch,Europe,1.63,3.935,0.01,0.0,100.0,100.0,37.05,37490,22999,147507,1012
BLOOM,Dutch,Europe,2.04,3.144,0.0,0.0,98.11,100.0,46.37,46923,22999,147507,1012
Fietje-2,Dutch,Europe,2.325,2.759,0.1,0.0,94.34,100.0,52.83,53462,22999,147507,1012
Gemma-4,Polish,Europe,2.096,3.415,1.94,0.0,100.0,100.0,40.37,40850,19488,139483,1012
BLOOM,Polish,Europe,2.99,2.394,0.03,0.0,97.17,100.0,57.58,58275,19488,139483,1012
Bielik-11B,Polish,Europe,2.924,2.447,3.58,0.0,81.13,100.0,56.32,56991,19488,139483,1012
Gemma-4,Russian,Europe,1.884,3.838,0.01,0.0,99.33,100.0,36.58,37023,19655,142096,1012
BLOOM,Russian,Europe,3.425,2.111,0.24,0.0,92.67,100.0,66.52,67317,19655,142096,1012
Vikhr-Nemo-12B,Russian,Europe,2.13,3.395,0.71,0.0,98.67,100.0,41.36,41857,19655,142096,1012
Gemma-4,Ukrainian,Europe,2.273,3.083,0.0,0.0,100.0,100.0,43.09,43605,19181,134446,1012
BLOOM,Ukrainian,Europe,3.899,1.798,2.11,0.0,88.44,100.0,73.9,74789,19181,134446,1012
MamayLM-12B,Ukrainian,Europe,2.273,3.083,0.0,0.0,100.0,100.0,43.09,43605,19181,134446,1012
Gemma-4,Romanian,Europe,1.8,3.479,2.4,0.0,100.0,100.0,42.2,42702,23729,148571,1012
BLOOM,Romanian,Europe,2.205,2.84,1.54,0.0,96.43,100.0,51.69,52315,23729,148571,1012
LLMic-3B,Romanian,Europe,2.192,2.856,16.17,0.0,77.68,4.15,51.41,52025,23729,148571,1012
Gemma-4,Swedish,Europe,1.841,3.543,0.0,0.0,100.0,100.0,36.86,37303,20267,132173,1012
BLOOM,Swedish,Europe,2.222,2.935,0.06,0.0,99.05,100.0,44.5,45032,20267,132173,1012
Viking-7B,Swedish,Europe,1.474,4.423,0.94,0.0,100.0,100.0,29.53,29881,20267,132173,1012
Gemma-4,Czech,Europe,2.157,3.077,1.51,0.0,99.13,100.0,40.87,41359,19178,127257,1012
BLOOM,Czech,Europe,2.885,2.3,0.25,0.0,95.65,100.0,54.67,55327,19178,127257,1012
CSMPT-7B,Czech,Europe,1.407,4.717,0.03,0.0,96.52,100.0,26.66,26979,19178,127257,1012
Gemma-4,Greek,Europe,2.472,2.666,0.0,0.0,100.0,100.0,58.39,59088,23899,157539,1012
BLOOM,Greek,Europe,4.341,1.518,1.45,0.0,86.27,100.0,102.52,103749,23899,157539,1012
Meltemi-7B,Greek,Europe,1.397,4.72,0.04,0.0,95.42,100.0,32.98,33378,23899,157539,1012
Gemma-4,Lat.Am. Spanish,Americas,1.347,4.47,0.0,0.0,100.0,100.0,34.71,35125,26081,156997,1012
BLOOM,Lat.Am. Spanish,Americas,1.269,4.745,0.0,0.0,100.0,100.0,32.69,33084,26081,156997,1012
LatamGPT-70B,Lat.Am. Spanish,Americas,1.604,3.752,0.65,0.0,100.0,100.0,41.35,41843,26081,156997,1012
Gemma-4,Brazilian Portuguese,Americas,1.453,4.215,0.0,0.0,100.0,100.0,33.62,34022,23413,143418,1012
BLOOM,Brazilian Portuguese,Americas,1.312,4.669,0.04,0.0,100.0,100.0,30.36,30720,23413,143418,1012
Tucano-2b4,Brazilian Portuguese,Americas,1.252,4.893,0.01,0.0,86.84,99.31,28.96,29308,23413,143418,1012
Gemma-4,Quechua,Americas,3.147,2.811,0.0,0.0,100.0,100.0,49.58,50177,15943,141027,1012
BLOOM,Quechua,Americas,3.158,2.801,0.0,0.0,100.0,100.0,49.74,50341,15943,141027,1012
Gemma-4,Haitian Creole,Americas,1.796,2.918,0.0,0.0,100.0,100.0,41.08,41569,23149,121280,1012
BLOOM,Haitian Creole,Americas,1.85,2.831,0.05,0.0,99.13,100.0,42.33,42833,23149,121280,1012
Gemma-4,Māori,Oceania,1.825,2.647,5.77,0.0,100.0,100.0,54.7,55352,30334,146527,1012
BLOOM,Māori,Oceania,1.91,2.529,0.02,0.0,94.62,100.0,57.26,57950,30334,146527,1012
Gemma-4,Samoan,Oceania,1.821,2.635,0.72,0.0,100.0,100.0,57.27,57953,31820,152724,1012
BLOOM,Samoan,Oceania,1.823,2.632,0.02,0.0,97.37,100.0,57.33,58022,31820,152724,1012
Gemma-4,Tok Pisin,Oceania,1.644,3.247,0.0,0.0,100.0,100.0,51.44,52053,31653,169011,1012
BLOOM,Tok Pisin,Oceania,1.668,3.201,0.0,0.0,100.0,100.0,52.18,52803,31653,169011,1012
